GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99501,AK,99501,99501,80915,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99502,AK,99502,99502,104176,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99503,AK,99503,99503,72578,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99504,AK,99504,99504,89706,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99505,AK,99505,99505,63750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99506,AK,99506,99506,62271,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99507,AK,99507,99507,105574,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99508,AK,99508,99508,72120,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99510,AK,99510,99510,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99513,AK,99513,99513,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99515,AK,99515,99515,120720,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99516,AK,99516,99516,167696,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99517,AK,99517,99517,103989,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99518,AK,99518,99518,101316,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99519,AK,99519,99519,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99540,AK,99540,99540,109554,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99546,AK,99546,99546,68750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99547,AK,99547,99547,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99548,AK,99548,99548,48750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99549,AK,99549,99549,66875,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99550,AK,99550,99550,91000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99551,AK,99551,99551,47500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99552,AK,99552,99552,51250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99553,AK,99553,99553,49167,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99554,AK,99554,99554,36250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99555,AK,99555,99555,48750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99556,AK,99556,99556,75938,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99557,AK,99557,99557,47679,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99558,AK,99558,99558,51875,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99559,AK,99559,99559,72222,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99561,AK,99561,99561,53750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99563,AK,99563,99563,40833,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99564,AK,99564,99564,44167,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99565,AK,99565,99565,85833,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99566,AK,99566,99566,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99567,AK,99567,99567,118165,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99568,AK,99568,99568,76667,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99569,AK,99569,99569,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99571,AK,99571,99571,82083,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99572,AK,99572,99572,68788,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99573,AK,99573,99573,86875,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99574,AK,99574,99574,110353,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99575,AK,99575,99575,31250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99576,AK,99576,99576,75417,2015-2019,2010,Census,United States (Nation)
