GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99501,AK,99501,99501,101429,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99502,AK,99502,99502,135988,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99503,AK,99503,99503,94694,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99504,AK,99504,99504,106638,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99505,AK,99505,99505,98889,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99506,AK,99506,99506,77479,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99507,AK,99507,99507,130544,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99508,AK,99508,99508,94798,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99513,AK,99513,99513,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99515,AK,99515,99515,127525,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99516,AK,99516,99516,194598,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99517,AK,99517,99517,119141,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99518,AK,99518,99518,114232,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99519,AK,99519,99519,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99530,AK,99530,99530,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99540,AK,99540,99540,164886,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99546,AK,99546,99546,89167,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99547,AK,99547,99547,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99548,AK,99548,99548,48750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99549,AK,99549,99549,56250,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99550,AK,99550,99550,65625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99551,AK,99551,99551,32917,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99552,AK,99552,99552,63750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99553,AK,99553,99553,44375,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99554,AK,99554,99554,40313,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99555,AK,99555,99555,77083,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99556,AK,99556,99556,85134,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99557,AK,99557,99557,74500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99558,AK,99558,99558,92083,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99559,AK,99559,99559,126890,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99561,AK,99561,99561,52500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99563,AK,99563,99563,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99564,AK,99564,99564,96667,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99565,AK,99565,99565,71875,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99566,AK,99566,99566,108750,2020-2024,2020,Census,United States (Nation)
