GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
City,Abanda,AL,100100,0100100,115388,2020-2024,2020,Census,United States (Nation)
City,Abbeville,AL,100124,0100124,31712,2020-2024,2020,Census,United States (Nation)
City,Adamsville,AL,100460,0100460,62500,2020-2024,2020,Census,United States (Nation)
City,Addison,AL,100484,0100484,56384,2020-2024,2020,Census,United States (Nation)
City,Akron,AL,100676,0100676,34107,2020-2024,2020,Census,United States (Nation)
City,Alabaster,AL,100820,0100820,91357,2020-2024,2020,Census,United States (Nation)
City,Albertville,AL,100988,0100988,56099,2020-2024,2020,Census,United States (Nation)
City,Alexander City,AL,101132,0101132,47022,2020-2024,2020,Census,United States (Nation)
City,Alexandria,AL,101180,0101180,85089,2020-2024,2020,Census,United States (Nation)
City,Aliceville,AL,101228,0101228,39167,2020-2024,2020,Census,United States (Nation)
City,Allgood,AL,101396,0101396,73750,2020-2024,2020,Census,United States (Nation)
City,Altoona,AL,101660,0101660,43056,2020-2024,2020,Census,United States (Nation)
City,Andalusia,AL,101708,0101708,42611,2020-2024,2020,Census,United States (Nation)
City,Anderson,AL,101756,0101756,110682,2020-2024,2020,Census,United States (Nation)
City,Anniston,AL,101852,0101852,46668,2020-2024,2020,Census,United States (Nation)
City,Arab,AL,102116,0102116,64333,2020-2024,2020,Census,United States (Nation)
City,Ardmore,AL,102260,0102260,50352,2020-2024,2020,Census,United States (Nation)
City,Argo,AL,102320,0102320,105128,2020-2024,2020,Census,United States (Nation)
City,Ariton,AL,102428,0102428,50000,2020-2024,2020,Census,United States (Nation)
City,Arley,AL,102500,0102500,71818,2020-2024,2020,Census,United States (Nation)
City,Ashford,AL,102836,0102836,65341,2020-2024,2020,Census,United States (Nation)
City,Ashland,AL,102860,0102860,42308,2020-2024,2020,Census,United States (Nation)
City,Ashville,AL,102908,0102908,69362,2020-2024,2020,Census,United States (Nation)
City,Athens,AL,102956,0102956,69922,2020-2024,2020,Census,United States (Nation)
City,Atmore,AL,103004,0103004,38862,2020-2024,2020,Census,United States (Nation)
City,Attalla,AL,103028,0103028,59215,2020-2024,2020,Census,United States (Nation)
City,Auburn,AL,103076,0103076,63668,2020-2024,2020,Census,United States (Nation)
City,Autaugaville,AL,103220,0103220,49643,2020-2024,2020,Census,United States (Nation)
City,Avon,AL,103364,0103364,39375,2020-2024,2020,Census,United States (Nation)
City,Axis,AL,103508,0103508,95977,2020-2024,2020,Census,United States (Nation)
City,Babbie,AL,103556,0103556,63611,2020-2024,2020,Census,United States (Nation)
City,Baileyton,AL,103676,0103676,63143,2020-2024,2020,Census,United States (Nation)
City,Bakerhill,AL,103724,0103724,55114,2020-2024,2020,Census,United States (Nation)
City,Ballplay,AL,103820,0103820,47837,2020-2024,2020,Census,United States (Nation)
City,Banks,AL,103940,0103940,50000,2020-2024,2020,Census,United States (Nation)
City,Bay Minette,AL,104660,0104660,44523,2020-2024,2020,Census,United States (Nation)
City,Bayou La Batre,AL,104684,0104684,37679,2020-2024,2020,Census,United States (Nation)
City,Bear Creek,AL,104852,0104852,50188,2020-2024,2020,Census,United States (Nation)
City,Beatrice,AL,104900,0104900,37292,2020-2024,2020,Census,United States (Nation)
City,Beaverton,AL,104948,0104948,38125,2020-2024,2020,Census,United States (Nation)
City,Belgreen,AL,105140,0105140,47946,2020-2024,2020,Census,United States (Nation)
City,Belk,AL,105164,0105164,44850,2020-2024,2020,Census,United States (Nation)
City,Bellamy,AL,105188,0105188,53011,2020-2024,2020,Census,United States (Nation)
City,Belle Fontaine,AL,105212,0105212,107857,2020-2024,2020,Census,United States (Nation)
City,Benton,AL,105692,0105692,46750,2020-2024,2020,Census,United States (Nation)
City,Berlin,AL,105812,0105812,70982,2020-2024,2020,Census,United States (Nation)
City,Berry,AL,105932,0105932,37031,2020-2024,2020,Census,United States (Nation)
City,Bessemer,AL,105980,0105980,39613,2020-2024,2020,Census,United States (Nation)
City,Billingsley,AL,106460,0106460,44479,2020-2024,2020,Census,United States (Nation)
City,Birmingham,AL,107000,0107000,46051,2020-2024,2020,Census,United States (Nation)
City,Black,AL,107120,0107120,61214,2020-2024,2020,Census,United States (Nation)
City,Blountsville,AL,107456,0107456,48182,2020-2024,2020,Census,United States (Nation)
City,Blue Ridge,AL,107588,0107588,128482,2020-2024,2020,Census,United States (Nation)
City,Blue Springs,AL,107672,0107672,46667,2020-2024,2020,Census,United States (Nation)
City,Boaz,AL,107912,0107912,49846,2020-2024,2020,Census,United States (Nation)
City,Boligee,AL,108104,0108104,26607,2020-2024,2020,Census,United States (Nation)
City,Bon Air,AL,108248,0108248,38000,2020-2024,2020,Census,United States (Nation)
City,Bon Secour,AL,108272,0108272,61497,2020-2024,2020,Census,United States (Nation)
City,Boykin,AL,108680,0108680,51667,2020-2024,2020,Census,United States (Nation)
