"city_state,credit_tier,avg_income,credit_tier_encoded"
"Abbeville_AL,Poor,31712.0,0"
"Adamsville_AL,Poor,62500.0,0"
"Alabaster_AL,Very Good,91357.0,3"
"Albertville_AL,Fair,56099.0,1"
"Alexander City_AL,Good,47022.0,2"
"Alexandria_AL,Good,85089.0,2"
"Aliceville_AL,Good,39167.0,2"
"Andalusia_AL,Good,42611.0,2"
"Anniston_AL,Poor,46668.0,0"
"Arab_AL,Very Good,64333.0,3"
"Argo_AL,Exceptional,105128.0,4"
"Ashford_AL,Good,65341.0,2"
"Ashland_AL,Poor,42308.0,0"
"Ashville_AL,Very Good,69362.0,3"
"Athens_AL,Fair,69922.0,1"
"Atmore_AL,Poor,38862.0,0"
"Attalla_AL,Poor,59215.0,0"
"Auburn_AL,Poor,63668.0,0"
"Ballplay_AL,Fair,47837.0,1"
"Bay Minette_AL,Poor,44523.0,0"
"Bayou La Batre_AL,Poor,37679.0,0"
"Bessemer_AL,Poor,39613.0,0"
"Birmingham_AL,Poor,46051.0,0"
"Blountsville_AL,Fair,48182.0,1"
"Blue Ridge_AL,Good,128482.0,2"
"Boaz_AL,Fair,49846.0,1"
"Bon Secour_AL,Very Good,61497.0,3"
"Brent_AL,Poor,22660.0,0"
"Brewton_AL,Fair,50721.0,1"
"Bridgeport_AL,Fair,34481.0,1"
"Brighton_AL,Poor,38221.0,0"
"Brook Highland_AL,Fair,79904.0,1"
"Brookwood_AL,Fair,81394.0,1"
"Brundidge_AL,Poor,38188.0,0"
"Butler_AL,Fair,47350.0,1"
"Calera_AL,Very Good,87194.0,3"
"Camden_AL,Poor,36481.0,0"
"Carbon Hill_AL,Fair,24605.0,1"
"Carlisle-Rockledge_AL,Fair,60360.0,1"
"Cedar Bluff_AL,Good,52500.0,2"
"Center Point_AL,Fair,56417.0,1"
"Centre_AL,Poor,44664.0,0"
"Centreville_AL,Poor,39477.0,0"
"Chelsea_AL,Exceptional,115337.0,4"
"Chickasaw_AL,Fair,46559.0,1"
"Childersburg_AL,Fair,52338.0,1"
"Choccolocco_AL,Exceptional,78858.0,4"
"Citronelle_AL,Good,43870.0,2"
"Clanton_AL,Very Good,47520.0,3"
"Clay_AL,Very Good,81920.0,3"
"Clayton_AL,Poor,21641.0,0"
"Clio_AL,Poor,28750.0,0"
"Coaling_AL,Fair,81370.0,1"
"Coats Bend_AL,Very Good,70409.0,3"
"Collinsville_AL,Poor,31652.0,0"
"Columbiana_AL,Fair,80546.0,1"
"Concord_AL,Very Good,66406.0,3"
"Cordova_AL,Poor,37662.0,0"
"Cottondale_AL,Poor,44877.0,0"
"Cowarts_AL,Fair,64118.0,1"
"Creola_AL,Fair,66607.0,1"
"Crossville_AL,Poor,49100.0,0"
"Cullman_AL,Good,61224.0,2"
"Dadeville_AL,Poor,67147.0,0"
"Daleville_AL,Fair,45324.0,1"
"Daphne_AL,Exceptional,87250.0,4"
"Dauphin Island_AL,Fair,67206.0,1"
"Deatsville_AL,Fair,123977.0,1"
"Decatur_AL,Fair,61563.0,1"
"Demopolis_AL,Poor,34802.0,0"
"Dora_AL,Poor,61892.0,0"
"Dothan_AL,Good,55792.0,2"
"Eagle Point_AL,Exceptional,151842.0,4"
"East Brewton_AL,Poor,35571.0,0"
"Elba_AL,Poor,44792.0,0"
"Elberta_AL,Exceptional,55000.0,4"
"Elmore_AL,Poor,48696.0,0"
"Emerald Mountain_AL,Exceptional,123347.0,4"
